Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
180,All Boys,Tobías Bovone,0,3,,0,58.14,
181,San Martín de Tucumán,Guillermo Sebastian Rodríguez,0,0,,0,72.31,
182,Colegiales,Lucio Castillo,0,8,,0,63.46,
183,San Telmo,Nicolás Morro,0,1,,0,81.61,
184,Almirante Brown,Santiago Vera,1,0,,1,72.73,
185,Gimnasia Jujuy,Rodrigo Lautaro Velázquez,0,2,,1,76.19,
186,Arsenal de Sarandí,Alexis Sosa,0,0,,0,73.81,
187,Alvarado,Jeremías James Griffiths,0,0,,0,77.08,
188,Atlanta,Tomás Alejandro Rojas,0,0,,0,81.82,
189,Club Atlético Chacarita Juniors,Federico Bravo,0,0,,0,86.07,
190,Mitre,Luciano Jachfe,0,0,,0,89.62,
191,Club Atlético Chacarita Juniors,Gonzalo Errecalde,0,0,,0,86.87,
192,Deportivo Morón,Gaston Gonzalez,0,2,,0,78.48,
193,Patronato,Matías Pardo,0,6,,0,62,
194,Club Ferro Carril Oeste,Martín Vallejos,0,5,,0,75.42,
195,Talleres Remedios de Escalada,Rodrigo Ivan Diaz,0,2,,0,70.83,
196,All Boys,Tomás Assennato,0,2,,0,74.07,
197,Temperley,Diego Magallanes,0,1,,0,66.67,
198,Alvarado,Enzo Martinez,0,7,,0,73.33,
199,Gimnasia y Tiro de Salta,Adolfo Tallura,0,0,,0,86.52,
200,Atlanta,Guillermo Ferracutti,0,0,,0,66.67,
201,Colegiales,Nicolas Alvarez,0,2,,0,50.67,
202,Gimnasia Jujuy,Alejandro Gabriel Quintana,2,4,,0,48,
203,Agropecuario Argentino,Franco Coronel,1,2,,0,66.67,
204,Almagro,Patricio Cucchi,1,0,,0,68.33,
205,Gimnasia Jujuy,Daniel Juárez,0,1,,1,67.5,
206,Güemes,Patricio Pérez,0,8,,1,81.58,
207,Club Atlético Chacarita Juniors,Federico Andueza,0,0,,0,87.5,
208,Agropecuario Argentino,Brian Blando,0,2,,0,0,
209,Almirante Brown,Emilio MacEachen,0,0,,0,87.5,
210,Defensores de Belgrano,Ignacio Gutierrez,0,0,,0,71.43,
211,Patronato,Alan Sombra,0,3,,0,0,
212,Güemes,Matias Fissore,0,1,,0,58.82,
213,Defensores de Belgrano,Gonzalo Cristian Villafañe,0,0,,0,0,
214,Temperley,Lorenzo Monti,0,2,,0,0,
215,Central Norte de Salta,Matías Moravec Peralba,0,3,,0,69.7,
216,Quilmes Atlético Club,Gabriel Aranda,0,0,,0,71.28,
217,Defensores de Belgrano,Ezequiel Aguirre,0,0,,0,63.89,
218,All Boys,Maximiliano Coronel,0,0,,0,81.1,
219,Chaco For Ever,Gino Barbieri,0,4,,0,83.93,
220,Arsenal de Sarandí,Claudio Villagra,0,1,,0,73.33,
221,Tristán Suárez,Alexis Steimbach,0,8,,0,54.02,
222,Gimnasia y Tiro de Salta,Ivo Chaves,0,3,,0,75.29,
223,Defensores Unidos,Daniel Carrasco,0,0,,0,86.79,
224,Los Andes,Mariano Monllor,0,0,,0,78.82,
225,Colegiales,David Müller,0,2,,0,68.18,
226,Agropecuario Argentino,Danilo Renzo Ruiz Diaz,1,5,,0,62.82,
227,Racing de Córdoba,Pablo Chavarría,0,3,,0,78.18,
228,Nueva Chicago,Iván Maggi,0,9,,0,60.81,
229,Nueva Chicago,Gonzalo Muscia,0,0,,0,80.82,
230,Club Ferro Carril Oeste,Pablo Palacio,0,4,,0,80,
231,Gimnasia Jujuy,Hugo Soria,0,0,,0,88.37,
232,Chaco For Ever,Mathias Silvera,0,1,,0,60.92,
233,San Martín de Tucumán,Gustavo Abregú,0,1,,0,77.46,
234,Defensores de Belgrano,Matías Laba,0,1,,0,85.71,
235,Agropecuario Argentino,Fabián Henríquez,0,1,,0,77.16,
236,Club Ferro Carril Oeste,Mateo Benegas,0,2,,0,72.09,
237,Gimnasia y Esgrima Mendoza,Ignacio Antonio,0,3,,0,72.84,
238,Agropecuario Argentino,Damián Lemos,0,0,,0,83.58,
239,Gimnasia Jujuy,Emiliano Endrizzi,0,1,,0,74.29,
240,Güemes,Nicolás Monserrat,0,2,,0,85.06,
241,Deportivo Morón,Juan Manuel Cabrera,0,3,,0,61.64,
242,Mitre,Marcos Sánchez,0,0,,0,84.18,
243,Deportivo Maipú,Aron Rodrigo Aguero Gimenez,0,0,,0,83.33,
244,Arsenal de Sarandí,Jerónimo Pourtau,0,0,,0,74.29,
245,Atlanta,Fausto Montero,0,1,,0,75.27,
246,Tristán Suárez,Alexander Sosa,1,1,,0,52.94,
247,Central Norte de Salta,Agustín Bianciotti,1,1,,0,0,
248,Almirante Brown,Patricio Pizarro,1,2,,0,81.4,
249,Deportivo Madryn,Alejandro Gutiérrez,0,0,,0,69.57,
250,Club Atletico Colón,Facundo Castet,0,1,,0,79.17,
251,Gimnasia y Esgrima Mendoza,Franco Saavedra,0,4,,0,74.19,
252,San Telmo,Facundo Tello,0,0,,0,79.55,
253,San Martín de Tucumán,Martin Pino,1,2,,0,56.25,
254,San Miguel,Lautaro Parisi,1,1,,0,82.61,
255,Defensores de Belgrano,Luciano Correa,1,2,,0,80.56,
256,Agropecuario Argentino,Fernando Miranda,0,0,,1,77.42,
257,Club Ferro Carril Oeste,Franco García,0,6,,0,63.16,
258,Club Ferro Carril Oeste,Geronimo Tomasetti,0,2,,0,77.33,
259,Quilmes Atlético Club,Iván Ramírez,0,1,,0,88.24,
260,Mitre,Gonzalo Valdivia,0,5,,0,60.29,
261,Chaco For Ever,Alan Luque,0,3,,0,70.83,
262,Tristán Suárez,Federico Boasso,0,1,,0,83.33,
263,Central Norte de Salta,Juan Alvacete,0,1,,0,72.92,
264,Talleres Remedios de Escalada,Enzo Tamborelli,0,0,,0,71.21,
265,Gimnasia y Tiro de Salta,Matías Birge,0,8,,0,76.84,
266,Deportivo Madryn,Yair Bonnin,0,0,,0,96.55,
267,Deportivo Madryn,Diego Crego,0,10,,0,69.47,
268,Güemes,Federico López,0,3,,0,59.38,
269,Quilmes Atlético Club,Edwin Emilio Schultz Santillán,0,7,,0,68.97,
270,Arsenal de Sarandí,Iván Cabrera,0,2,,0,70.27,
271,Estudiantes de Río Cuarto,Joaquín Bigo,0,0,,0,68.92,
272,Atlanta,Dylan Argüello,,0,,,0,
273,Güemes,Julián Gauna,1,1,,0,46.15,
274,Arsenal de Sarandí,Nahuel Frascone,0,3,,1,75.76,
275,Gimnasia Jujuy,Matias Noble,0,1,,0,0,
276,Güemes,Tobias Arevalos,0,0,,0,90.91,
277,Deportivo Morón,Matias Ballini,0,1,,0,55.56,
278,Agropecuario Argentino,Nicolas Sanchez,0,0,,0,0,
279,Talleres Remedios de Escalada,Mariano Del Col,0,1,,0,0,
280,Colegiales,Franco Hanashiro,0,1,,0,62.86,
281,Almagro,Lauro Gamba,0,0,,0,66.67,
282,Almagro,Lautaro Busto,0,0,,0,0,
283,Mitre,Cristian Díaz,0,1,,0,0,
284,San Martín de Tucumán,Axel Bordon,0,1,,0,0,
285,Defensores Unidos,Lucas Pedraza,0,4,,0,50,
286,Tristán Suárez,Mauro Fernández,0,1,,0,0,
287,Central Norte de Salta,Gonzalo Castilla,0,0,,0,46.67,
288,Defensores de Belgrano,Emiliano Vecchio,0,3,,0,77.14,
289,Club Atlético Chacarita Juniors,Agustin Quiroga,0,2,,0,0,
290,Almirante Brown,Leandro Vega,0,1,,0,85.71,
291,Arsenal de Sarandí,Manuel Cocca,0,0,,0,47.37,
292,Nueva Chicago,Mauro Ortíz,0,3,,0,75.68,
293,Patronato,Juan Pablo Barinaga,0,1,,0,78.72,
294,Deportivo Maipú,Matías Viguet,0,2,,0,74.19,
295,Quilmes Atlético Club,Marcos Enrique,0,0,,0,83.61,
296,Quilmes Atlético Club,Leandro Allende,0,2,,0,56.36,
297,Nueva Chicago,Tomás Alejandro Rodriguez,0,2,,0,89.29,
298,San Martín de Tucumán,Tiago Penalba,0,0,,0,69.05,
299,Deportivo Morón,Thiago Uriel Lauro,0,0,,0,70,
300,Almagro,Marcos Pinto,0,0,,0,71.43,
301,Alvarado,Cristian Gorgerino,0,1,,0,54.55,
302,Atlanta,Alexis Sabella,0,4,,0,0,
303,Deportivo Morón,Mariano Bittolo,0,4,,0,66.25,
